uptime=12615.10 [s], total pulses=311, cpm=(0.00, 1.47) [1/min]
uptime=12652.50 [s], total pulses=312, cpm=(0.00, 1.47) [1/min]
uptime=12692.40 [s], total pulses=313, cpm=(0.00, 1.47) [1/min]
uptime=12692.50 [s], total pulses=314, cpm=(0.05, 1.48) [1/min]
uptime=12722.90 [s], total pulses=315, cpm=(0.00, 1.48) [1/min]
uptime=12747.90 [s], total pulses=316, cpm=(0.00, 1.48) [1/min]
uptime=12787.20 [s], total pulses=317, cpm=(0.00, 1.48) [1/min]
uptime=12787.30 [s], total pulses=318, cpm=(0.05, 1.49) [1/min]
uptime=12792.20 [s], total pulses=319, cpm=(0.00, 1.49) [1/min]
uptime=12814.60 [s], total pulses=320, cpm=(0.00, 1.49) [1/min]
uptime=12815.80 [s], total pulses=321, cpm=(0.00, 1.50) [1/min]
uptime=12858.20 [s], total pulses=322, cpm=(0.00, 1.50) [1/min]
uptime=13026.00 [s], total pulses=323, cpm=(0.00, 1.48) [1/min]
uptime=13140.40 [s], total pulses=324, cpm=(0.00, 1.47) [1/min]
uptime=13170.80 [s], total pulses=325, cpm=(0.00, 1.48) [1/min]
uptime=13189.30 [s], total pulses=326, cpm=(0.00, 1.48) [1/min]
uptime=13329.80 [s], total pulses=327, cpm=(0.00, 1.47) [1/min]
uptime=13530.90 [s], total pulses=328, cpm=(0.00, 1.45) [1/min]
uptime=13530.90 [s], total pulses=329, cpm=(0.00, 1.45) [1/min]
uptime=13616.30 [s], total pulses=330, cpm=(0.02, 1.45) [1/min]
uptime=13674.50 [s], total pulses=331, cpm=(0.00, 1.45) [1/min]
uptime=13710.20 [s], total pulses=332, cpm=(0.00, 1.45) [1/min]
uptime=13725.20 [s], total pulses=333, cpm=(0.00, 1.45) [1/min]
uptime=13748.00 [s], total pulses=334, cpm=(0.00, 1.45) [1/min]
uptime=13913.20 [s], total pulses=335, cpm=(0.00, 1.44) [1/min]
uptime=13913.20 [s], total pulses=336, cpm=(0.00, 1.44) [1/min]
uptime=13978.20 [s], total pulses=337, cpm=(0.00, 1.44) [1/min]
uptime=14122.30 [s], total pulses=338, cpm=(0.00, 1.43) [1/min]
uptime=14128.20 [s], total pulses=339, cpm=(0.00, 1.44) [1/min]
uptime=14128.20 [s], total pulses=340, cpm=(0.00, 1.44) [1/min]
uptime=14131.20 [s], total pulses=341, cpm=(0.00, 1.44) [1/min]
uptime=14131.20 [s], total pulses=342, cpm=(0.00, 1.44) [1/min]
uptime=14132.10 [s], total pulses=343, cpm=(2.82, 1.45) [1/min]
uptime=14273.90 [s], total pulses=344, cpm=(0.00, 1.44) [1/min]
uptime=14273.90 [s], total pulses=345, cpm=(0.00, 1.44) [1/min]
uptime=14284.20 [s], total pulses=346, cpm=(0.00, 1.45) [1/min]
uptime=14284.20 [s], total pulses=347, cpm=(0.00, 1.45) [1/min]
uptime=14315.60 [s], total pulses=348, cpm=(0.00, 1.45) [1/min]
uptime=14345.70 [s], total pulses=349, cpm=(0.00, 1.46) [1/min]
uptime=14352.00 [s], total pulses=350, cpm=(0.00, 1.46) [1/min]
uptime=14352.00 [s], total pulses=351, cpm=(0.00, 1.46) [1/min]
uptime=14364.30 [s], total pulses=352, cpm=(0.00, 1.47) [1/min]
uptime=14376.30 [s], total pulses=353, cpm=(0.00, 1.47) [1/min]
uptime=14395.70 [s], total pulses=354, cpm=(0.00, 1.47) [1/min]
uptime=14403.00 [s], total pulses=355, cpm=(0.00, 1.47) [1/min]
uptime=14623.10 [s], total pulses=356, cpm=(0.00, 1.46) [1/min]
uptime=14623.10 [s], total pulses=357, cpm=(0.00, 1.46) [1/min]
uptime=14642.60 [s], total pulses=358, cpm=(0.00, 1.46) [1/min]
uptime=14667.00 [s], total pulses=359, cpm=(0.00, 1.46) [1/min]
uptime=14774.20 [s], total pulses=360, cpm=(0.00, 1.46) [1/min]
uptime=14802.20 [s], total pulses=361, cpm=(0.00, 1.46) [1/min]
uptime=14808.20 [s], total pulses=362, cpm=(0.00, 1.46) [1/min]
uptime=14882.30 [s], total pulses=363, cpm=(0.00, 1.46) [1/min]
uptime=15007.50 [s], total pulses=364, cpm=(0.00, 1.45) [1/min]
uptime=15013.20 [s], total pulses=365, cpm=(0.00, 1.45) [1/min]
uptime=15039.70 [s], total pulses=366, cpm=(0.00, 1.46) [1/min]
